"Date","Price","Open","High","Low","Vol.","Change %"
"2024/04/08","75,334.92","74,849.09","75,395.77","74,718.83","367.82M","0.75%"
"2024/04/05","74,774.72","74,638.89","75,372.98","74,322.42","236.49M","-0.79%"
"2024/04/04","75,372.98","74,159.03","75,412.67","74,097.93","303.76M","1.72%"
"2024/04/03","74,097.93","74,130.62","74,429.48","73,765.50","258.89M","-0.45%"
"2024/04/02","74,429.48","74,916.40","74,962.16","74,226.47","237.42M","-0.14%"
"2024/03/28","74,535.99","73,940.19","74,535.99","73,909.47","206.73M","0.85%"
"2024/03/27","73,909.47","73,500.49","74,053.60","73,472.65","193.31M","0.41%"
"2024/03/26","73,608.07","73,390.22","73,692.97","73,062.71","181.05M","0.44%"
"2024/03/25","73,282.90","73,192.37","73,493.34","72,874.39","231.99M","0.04%"
"2024/03/22","73,254.19","72,779.07","73,330.68","72,419.70","236.21M","1.15%"
"2024/03/20","72,419.70","71,988.65","72,495.36","71,868.07","415.70M","0.77%"
"2024/03/19","71,868.07","72,445.69","72,445.69","71,663.25","196.55M","-0.78%"
"2024/03/18","72,430.46","73,153.38","73,509.75","72,328.88","250.68M","-0.77%"
"2024/03/15","72,990.70","72,990.70","72,990.70","72,990.70","","-1.19%"
"2024/03/14","73,866.79","74,301.51","74,301.51","73,808.85","","-0.53%"
"2024/03/13","74,258.63","73,282.43","74,258.63","73,222.19","264.07M","1.05%"
"2024/03/12","73,484.56","74,094.82","74,437.40","73,409.37","320.62M","0.00%"
"2024/03/11","73,481.74","73,582.61","73,717.78","73,135.10","195.17M","-0.32%"
"2024/03/08","73,717.78","73,741.62","73,895.59","73,353.96","220.84M","0.15%"
"2024/03/07","73,604.11","73,222.92","73,604.11","72,999.44","196.62M","0.04%"
"2024/03/06","73,578.18","72,521.41","73,578.18","72,241.72","220.36M","1.85%"
"2024/03/05","72,241.72","72,548.81","72,633.15","72,104.48","272.14M","-0.54%"
"2024/03/04","72,633.15","73,292.98","73,707.62","72,597.42","280.81M","-0.20%"
"2024/03/01","72,775.49","72,738.97","72,931.72","72,343.63","234.31M","0.06%"
"2024/02/29","72,729.73","72,439.24","72,879.63","72,204.53","291.87M","0.73%"
"2024/02/28","72,204.53","73,090.84","73,142.11","72,197.56","159.12M","-1.28%"
"2024/02/27","73,142.11","73,429.97","73,621.24","73,029.74","221.24M","-0.65%"
"2024/02/26","73,621.24","73,859.28","74,213.39","73,333.08","161.12M","-0.80%"
"2024/02/23","74,213.39","73,799.20","74,431.97","73,799.20","160.06M","0.14%"
"2024/02/22","74,112.74","73,083.60","74,211.08","73,029.61","206.86M","1.48%"
"2024/02/21","73,029.61","73,009.63","73,162.29","72,547.40","199.72M","0.11%"
"2024/02/20","72,946.01","73,176.25","73,580.88","72,700.22","210.76M","-0.86%"
"2024/02/19","73,580.88","73,255.69","73,799.38","73,157.68","198.90M","-0.05%"
"2024/02/16","73,616.06","73,396.73","73,945.95","73,218.44","273.22M","0.54%"
"2024/02/15","73,218.44","72,690.58","73,347.23","72,690.58","189.15M","0.29%"
"2024/02/14","73,009.74","73,027.80","73,062.59","72,626.17","227.27M","-0.07%"
"2024/02/13","73,062.59","73,718.40","73,893.47","73,027.79","260.30M","-0.89%"
"2024/02/12","73,722.10","73,486.05","73,755.27","73,091.75","214.27M","0.41%"
"2024/02/09","73,423.30","73,650.31","73,855.68","73,336.40","172.78M","-0.41%"
"2024/02/08","73,725.38","74,135.81","74,313.44","73,541.41","227.68M","-0.79%"
"2024/02/07","74,313.44","74,538.49","74,598.66","74,154.30","240.51M","-0.33%"
"2024/02/06","74,558.52","74,658.04","74,783.72","74,033.92","191.48M","0.71%"
"2024/02/05","74,033.92","74,174.29","74,476.13","73,824.56","147.46M","-0.47%"
"2024/02/02","74,381.96","75,064.86","75,440.70","74,143.76","241.41M","-0.12%"
"2024/02/01","74,469.95","73,975.78","74,555.87","73,453.03","224.86M","-0.12%"
"2024/01/31","74,555.87","74,249.83","74,611.45","73,873.34","316.29M","-0.07%"
"2024/01/30","74,611.45","74,466.24","74,853.19","74,322.88","242.57M","0.32%"
"2024/01/29","74,370.53","74,916.43","75,084.38","74,323.14","203.36M","-0.95%"
"2024/01/26","75,084.38","73,707.84","75,084.38","73,447.13","200.76M","1.41%"
"2024/01/25","74,040.54","74,391.21","74,440.30","73,937.28","265.13M","-0.38%"
